strategy,instances,avg_time
INFORMATION_GAIN_MR,421,3.910300850868225
INFORMATION_GAIN_MR,401,3.875272035598755
INFORMATION_GAIN_MR,391,4.050017356872559
INFORMATION_GAIN_MR,381,3.854600429534912
INFORMATION_GAIN_MR,376,3.845723867416382
INFORMATION_GAIN_MR,368,3.818258047103882
INFORMATION_GAIN_MR,72,4.4557084441185
INFORMATION_GAIN_MR,62,3.217039426167806
INFORMATION_GAIN_MR,418,4.044044971466064
INFORMATION_GAIN_MR,377,3.89315915107727
INFORMATION_GAIN_MR,361,3.897713661193847
INFORMATION_GAIN_MR,345,3.697378993034363
INFORMATION_GAIN_MR,344,3.5358311335245762
INFORMATION_GAIN_MR,88,3.254124283790588
INFORMATION_GAIN_MR,77,2.8454573154449463
INFORMATION_GAIN_MR,230,4.078784465789795
INFORMATION_GAIN_MR,165,3.782617688179016
INFORMATION_GAIN_MR,129,3.79310941696167
INFORMATION_GAIN_MR,120,3.602760791778564
INFORMATION_GAIN_MR,116,4.737046718597412
INFORMATION_GAIN_MR,114,3.658003568649292
INFORMATION_GAIN_MR,75,1.881911754608154
INFORMATION_GAIN_MR,59,2.941444317499796
INFORMATION_GAIN_MR,52,2.07121459643046
INFORMATION_GAIN_MR,54,6.137983202934265
INFORMATION_GAIN_MR,25,3.5907240708669033
INFORMATION_GAIN_MR,12,4.015724182128906
INFORMATION_GAIN_MR,4,3.993666330973307
INFORMATION_GAIN_MR,2,4.6363665262858085
INFORMATION_GAIN_MR,29,5.679292559623718
INFORMATION_GAIN_MR,19,5.521896123886108
INFORMATION_GAIN_MR,254,5.996257305145264
INFORMATION_GAIN_MR,167,5.614785432815552
INFORMATION_GAIN_MR,123,5.553774118423462
INFORMATION_GAIN_MR,99,5.225474119186401
INFORMATION_GAIN_MR,46,5.059891700744629
INFORMATION_GAIN_MR,42,5.164755344390869
INFORMATION_GAIN_MR,41,5.319504261016846
INFORMATION_GAIN_MR,17,1.007965803146362
INFORMATION_GAIN_MR,16,0.00087571144104
INFORMATION_GAIN_MR,203,6.013134638468425
INFORMATION_GAIN_MR,115,5.517278432846069
INFORMATION_GAIN_MR,58,5.323598861694336
